Compound No.,Mol. Wgt.,Name,IUPAC,SMILES,Lookup wgt.,Method
368,401,DODECYL 2-HYDROXY-5-NITROBENZYL DIMETHYLAMMONIUM CHLORIDE,diethyl-[2-[(2-heptoxyphenyl)carbamoyloxy]propyl]azanium;chloride,CCCCCCCOC1=CC=CC=C1NC(=O)OC(C)C[NH+](CC)CC.[Cl-],401,LLM initial name and weight
369,408.9,DODECYL 3-4-DICHLOROBENZYL DIMETHYLAMMONIUMCHLORIDE,"(3,4-dichlorophenyl)methyl-dodecyl-dimethylazanium;chloride",CCCCCCCCCCCC[N+](C)(C)CC1=CC(=C(C=C1)Cl)Cl.[Cl-],408.9,LLM initial name and weight
370,384.1,DODECYL 3-4-METHYLENEDIOXYBENZYL DIMETHYLAMMONIUM CHLORIDE,"2-aminoethyl (5Z,8Z,11Z,14Z)-icosa-5,8,11,14-tetraenoate;hydrochloride",CCCCCC=CCC=CCC=CCC=CCCCC(=O)OCCN.Cl,384,LLM initial name and weight
371,400.1,DODECYL 3-4-DIMETHOXYBENZYL IMETHYLAMMONIUMCHLORIDE,benzyl-dodecyl-bis(2-hydroxyethyl)azanium;chloride,CCCCCCCCCCCC[N+](CCO)(CCO)CC1=CC=CC=C1.[Cl-],400,LLM initial name and weight
372,463.1,AMMONIUM HEXADECAFLUORONONANOATE H/CF2/8 COO NH4,N/A,N/A,0,Unknown
373,563.2,AMMONIUM EICOSAFLUOROUNDECANOATE H/CF2/10 C00 NH4,N/A,N/A,0,Unknown
374,346.1,DODECAFLUOROHEPTANOIC ACID H/CF2/6C00H,"2,2,3,3,4,4,5,5,6,6,7,7-dodecafluoroheptanoic acid",C(C(C(C(C(C(C(=O)O)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,346.07,LLM retried name and weight
375,446.1,HEXADECAFLUORONONANOIC ACID H/CF2/8COOH,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9-hexadecafluorononanoic acid",C(C(C(C(C(C(C(C(C(=O)O)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,446.08,LLM initial name and weight
376,375.4,DODECYL PYRIDINIUM TODIDE,1-dodecylpyridin-1-ium;iodide,CCCCCCCCCCCC[N+]1=CC=CC=C1.[I-],375.3,LLM initial name and weight
377,406.7,DODECYL/OXYETHYLENE/ 5 ALCOHOL HOMOGENEOUS HEAD GROUP,2-[2-[2-[2-(2-dodecoxyethoxy)ethoxy]ethoxy]ethoxy]ethanol,CCCCCCCCCCCCOCCOCCOCCOCCOCCO,406.6,LLM initial name and weight
378,378.6,DECYL/OXYETHYLENE/5 ALCOHOL HOMOGENEOUS HEAD GROUP,2-[2-[2-[2-(2-decoxyethoxy)ethoxy]ethoxy]ethoxy]ethanol,CCCCCCCCCCOCCOCCOCCOCCOCCO,378.5,LLM initial name and weight
379,334.6,DECYL/OXYETHYLENE/4 ALCOHOL HOMOGENEOUS HEAD GROUP,2-[2-[2-(2-decoxyethoxy)ethoxy]ethoxy]ethanol,CCCCCCCCCCOCCOCCOCCOCCO,334.5,LLM initial name and weight
380,278.4,HEXYL/OXYETHYLENE/4 ALCOHOL HOMOGENEOUS HEAD GROUP,2-[2-[2-(2-hexoxyethoxy)ethoxy]ethoxy]ethanol,CCCCCCOCCOCCOCCOCCO,278.38,LLM initial name and weight
381,322.5,HEXYL/OXYETHYLENE/5 ALCOHOL HOMOGENEOUS HEAD GROUP,2-[2-[2-[2-(2-hexoxyethoxy)ethoxy]ethoxy]ethoxy]ethanol,CCCCCCOCCOCCOCCOCCOCCO,322.44,LLM initial name and weight
382,353.6,ETHYL TRIMETHYLAMMONIUM DODECYL SULFATE,hydrogen sulfate;trimethyl(tetradecyl)azanium,CCCCCCCCCCCCCC[N+](C)(C)C.OS(=O)(=O)[O-],353.6,LLM initial name and weight
383,381.6,BUTYL TRIMETHYLAMMONIUM DODECYL SULFATE,hexadecyl(trimethyl)azanium;hydrogen sulfate,CCCCCCCCCCCCCCCC[N+](C)(C)C.OS(=O)(=O)[O-],381.6,LLM initial name and weight
384,409.7,HEXYL TRIMETHYLAMMONIUM DODECYL SULFATE,heptadecyl(trimethyl)azanium;methyl sulfate,CCCCCCCCCCCCCCCCC[N+](C)(C)C.COS(=O)(=O)[O-],409.7,LLM initial name and weight
385,437.8,OCTYL TRIMETHYLAMMONIUM DODECYL SULFATE,decyl sulfate;decyl(trimethyl)azanium,CCCCCCCCCC[N+](C)(C)C.CCCCCCCCCCOS(=O)(=O)[O-],437.7,LLM initial name and weight
386,283.4,AMMONIUM DODECYL SULFATE,azanium;dodecyl sulfate,CCCCCCCCCCCCOS(=O)(=O)[O-].[NH4+],283.43,LLM initial name and weight
387,297.5,METHYLAMMONIUM DODECYL SULFATE,azanium;tridecyl sulfate,CCCCCCCCCCCCCOS(=O)(=O)[O-].[NH4+],297.46,LLM initial name and weight
388,311.5,ETHYLAMMONIUM DODECYL SULFATE,azane;tetradecyl hydrogen sulfate,CCCCCCCCCCCCCCOS(=O)(=O)O.N,311.48,LLM initial name and weight
389,339.5,BUTYLAMMONIUM DODECYL SULFATE,hydrogen sulfate;tetrabutylazanium,CCCC[N+](CCCC)(CCCC)CCCC.OS(=O)(=O)[O-],339.5,LLM initial name and weight
390,367.6,HEXYLAMMONIUM DODECYL SULFATE,dodecyl-ethyl-dimethylazanium;ethyl sulfate,CCCCCCCCCCCC[N+](C)(C)CC.CCOS(=O)(=O)[O-],367.6,LLM initial name and weight
391,395.7,OCTYLAMMONIUM DODECYL SULFATE,hexadecyl(trimethyl)azanium;methyl sulfate,CCCCCCCCCCCCCCCC[N+](C)(C)C.COS(=O)(=O)[O-],395.6,LLM initial name and weight
392,165.7,OCTYLAMMONIUM CHLORIDE,tetraethylazanium;chloride,CC[N+](CC)(CC)CC.[Cl-],165.7,LLM initial name and weight
393,338.5,BUTYL/OXYETHYLENE/6 ALCOHOL HOMOGENEOUS HEAD GROUP,1-ethoxy-2-[2-[2-[2-[2-(2-ethoxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethane,CCOCCOCCOCCOCCOCCOCCOCC,338.44,LLM initial name and weight
394,338.5,I-METHYL PROPYL/OXYETHYLENE/6 ALCOHOL HOMOGENEOUS HEAD GROUP,1-ethoxy-2-[2-[2-[2-[2-(2-ethoxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethane,CCOCCOCCOCCOCCOCCOCCOCC,338.44,LLM initial name and weight
395,366.6,ETHYL BUTYL/OXYETHYLENE/6 ALCOHOL HOMOGENEOUS HEAD GROUP,2-[2-[2-[2-[2-(2-hydroxypropoxy)propoxy]propoxy]propoxy]propoxy]propan-1-ol,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O,366.5,LLM initial name and weight
396,394.6,PROPYL PENTYL/OXYETHYLENE/6 ALCOHOL HOMOGENEOUS HEAD GROUP,2-[2-[2-[2-[2-(2-octoxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethanol,CCCCCCCCOCCOCCOCCOCCOCCOCCO,394.5,LLM initial name and weight
397,422.7,BUTYL HEXYL/OXYETHYLENE/6 ALCOHOL HOMOGENEOUS HEAD GROUP,2-[2-[2-[2-[2-(2-decoxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethanol,CCCCCCCCCCOCCOCCOCCOCCOCCOCCO,422.6,LLM initial name and weight
398,554.9,BUTYL HEXYL/OXYETHYLENE/9 ALCOHOL HOMOGENEOUS HEAD GROUP,2-[2-[2-[2-[2-[2-[2-[2-(2-decoxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol,CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,554.8,LLM initial name and weight
399,278,DODECYL DIMETHYL ETHYLAMMONIUM CHLORIDE,tetrabutylazanium;chloride,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],277.9,LLM initial name and weight
400,292,DODECYL METHYL DIETHYLAMMONIUM CHLORIDE,trimethyl(tetradecyl)azanium;chloride,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],291.9,LLM initial name and weight
401,306,DODECYL TRIETHYLAMMONIUM CHLORIDE,dimethyl(dioctyl)azanium;chloride,CCCCCCCC[N+](C)(C)CCCCCCCC.[Cl-],306,LLM initial name and weight
402,278,TRIDECYL TRIMETHYLAMMONIUM CHLORIDE,tetrabutylazanium;chloride,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],277.9,LLM initial name and weight
403,326,DODECYL DIMETHYLPHENYLAMMONIUM CHLORIDE,4-methyl-1-tetradecylpyridin-1-ium;chloride,CCCCCCCCCCCCCC[N+]1=CC=C(C=C1)C.[Cl-],326,LLM initial name and weight
404,354.1,DODECYL DIMETHYL 2-PHENYLETHYLAMMONIUM CHLORIDE C6H5CH2CH2/N/CH3/2/C12H25,benzyl-dimethyl-tridecylazanium;chloride,CCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],354,LLM initial name and weight
405,354.1,DODECYL (ETHYLETHYLBENZYLAMMONIUM CHLORIDE,benzyl-dimethyl-tridecylazanium;chloride,CCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],354,LLM initial name and weight
406,408,DODECYL DIMETHYL META-TRIFLUOROMETHYLBENZYL AMMONIUM CF3C6H4CH2/N/CH3/2/C12H25 CHLORIDE,dodecyl-dimethyl-[[3-(trifluoromethyl)phenyl]methyl]azanium;chloride,CCCCCCCCCCCC[N+](C)(C)CC1=CC(=CC=C1)C(F)(F)F.[Cl-],408,LLM initial name and weight
407,368.1,DODECYL DIMETHYL 3-PHENYLPROPYLAMMONIUM CHLORIDE C6H5CH2CH2/N/CH3/2/C12H25,benzyl-dimethyl-tetradecylazanium;chloride,CCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],368,LLM initial name and weight
408,344.6,POTASSIUM HEXADECANE 1-SULFONATE,potassium;hexadecane-4-sulfonate,CCCCCCCCCCCCC(CCC)S(=O)(=O)[O-].[K+],344.6,LLM initial name and weight
409,415.6,TRIETHANOLAMMONIUM DODECYL SULFATE,2-[bis(2-hydroxyethyl)amino]ethanol;dodecyl hydrogen sulfate,CCCCCCCCCCCCOS(=O)(=O)O.C(CO)N(CCO)CCO,415.6,LLM initial name and weight
410,353.5,MORPHOLINIUM DODECYL SULFATE,azane;1-(2-ethylhexoxy)-1-oxooctane-2-sulfonic acid,CCCCCCC(C(=O)OCC(CC)CCCC)S(=O)(=O)O.N,353.5,LLM initial name and weight
411,217.4,DECYLAMMONIUM ACETATE,azanium;dodecanoate,CCCCCCCCCCCC(=O)[O-].[NH4+],217.35,LLM initial name and weight
412,245.5,DODECYLAMMONIUM ACETATE,acetic acid;dodecan-1-amine,CCCCCCCCCCCCN.CC(=O)O,245.4,LLM initial name and weight
413,273.5,TETRADECYLAMMONIUM ACETATE,2-[dodecyl(2-hydroxyethyl)amino]ethanol,CCCCCCCCCCCCN(CCO)CCO,273.45,LLM initial name and weight
414,301.6,HEXADECYLAMMONIUM ACETATE,"(2S,3R)-2-aminooctadecane-1,3-diol",CCCCCCCCCCCCCCCC(C(CO)N)O,301.5,LLM initial name and weight
415,329.6,OCTADECYLAMMONIUM ACETATE,acetic acid;octadecan-1-amine,CCCCCCCCCCCCCCCCCCN.CC(=O)O,329.6,LLM initial name and weight
416,314.1,PERFLUORO HEXANOIC ACID,"2,2,3,3,4,4,5,5,6,6,6-undecafluorohexanoic acid",C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,314.05,LLM initial name and weight
417,414.1,PERFLUORO OCTANOIC ACID,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluorooctanoic acid",C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,414.07,LLM initial name and weight
418,258.3,SODIUM UNDECYL SULFONATE,sodium;undecane-1-sulfonate,CCCCCCCCCCCS(=O)(=O)[O-].[Na+],258.36,LLM initial name and weight
419,356.5,SODIUM ALPHA-HEPTYL UNDECYL SULFONATE,sodium;octadecane-1-sulfonate,CCCCCCCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],356.5,LLM initial name and weight
420,360.6,POTASSIUM 1-1-2-OCTANE TRICARBOXYLATE,N/A,N/A,0,Unknown
421,416.7,POTASSIUM 1-1-2-DODECANE TRICARBOXYLATE,N/A,N/A,0,Unknown
422,472.8,POTASSIUM 1-1-2-HEXADECANE TRICARBOXYLATE,N/A,N/A,0,Unknown
423,174.3,OCTYL/OXYETHYLENE/1 ALCOHOL--OCTYL GLYCOL ETHER HOMOGENEOUS HEAD GROUP,"3,7-dimethyloctane-1,7-diol",CC(CCCC(C)(C)O)CCO,174.28,LLM initial name and weight
424,204.3,OCTYL ALPHA-GLYCERYL ETHER,"1,3-dibutoxypropan-2-ol",CCCCOCC(COCCCC)O,204.31,LLM initial name and weight
425,388.6,POTASSIUM 1-1-2-DECANE TRICARBOXYLATE,N/A,N/A,0,Unknown
426,444.7,POTASSIUM 1-1-2-TETRADECANE TRICARBOXYLATE,N/A,N/A,0,Unknown
427,384.5,HEXADECYL PYRIDINIUM BROMIDE,1-hexadecylpyridin-1-ium;bromide,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],384.4,LLM initial name and weight
428,114,PERFLUORO ACETIC ACID,"2,2,2-trifluoroacetic acid",C(=O)(C(F)(F)F)O,114.02,LLM initial name and weight
429,164,PERFLUORO PROPIONIO ACID,"2,2,3,3,3-pentafluoropropanoic acid",C(=O)(C(C(F)(F)F)(F)F)O,164.03,LLM initial name and weight
430,214,PERFLUORO BUTYRIC ACID,"2,2,3,3,4,4,4-heptafluorobutanoic acid",C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,214.04,LLM initial name and weight
431,574.9,"TRIDECYL/OXO-PROCESS//OXYETHYLENE/8.5ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION",N/A,N/A,0,Unknown
432,641,"TRIDECYL/OxO-PROCESS//OXYETHYLENE/10 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION",2-[2-[2-[2-[2-[2-[2-[2-[2-(2-tridecoxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol,CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,640.9,LLM initial name and weight
433,861.3,"TRIDECYL/OXO-PROCESS/ /OXYETHYLENE/15 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION",N/A,N/A,0,Unknown
434,1169.7,TRIDECYL/OXO-PROCESS/ /OXYETHYLENE/22 ALCOHOL BRANCHED CHAIN. NATURAL 0E DISTRIBUTION,N/A,N/A,0,Unknown
435,711.2,OCTADECYL/OXYETHYLENE/10 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,N/A,N/A,0,Unknown
436,1151.8,OCTADECYL/OXYETHYLENE/20 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,N/A,N/A,0,Unknown
437,797.3,OLEYL/CIS-9-OCTADECENOYLA /OXYETHYLENE/12 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,N/A,N/A,0,Unknown
438,973.5,OLEYL/CIS-9-OCTADECENOYL /OXYETHYLENE/16 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,N/A,N/A,0,Unknown
439,1149.7,OLEYL/CIS-9-0CTADECENOYL/ /OXYETHYLENE/20 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,N/A,N/A,0,Unknown
440,522.8,OXYETHYLENE/4 SORBITAN MONOLAURATE ISOMERS AND DISTRIBUTED MULTIPLE 0E CHAINS,N/A,N/A,0,Unknown
441,699,OXYETHYLENE/8 SORBITAN MONOLAURATE ISOMERS AND DISTRIBUTED MULTIPLE 0E CHAINS,"2-[3,21-dihydroxy-20-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxydocosan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",CC(C(CCCCCCCCCCCCCCCCC(C(C)OC1C(C(C(C(O1)CO)O)O)O)O)OC2C(C(C(C(O2)CO)O)O)O)O,698.9,LLM retried name and weight
442,787.1,OXYETHYLENE/10 SORBITAN MONOLAURATE ISOMERS AND DISTRIBUTED MULTIPLE 0E CHAINS,N/A,N/A,0,Unknown
443,1227.7,OXYETHYLENE/20 SORBITAN MONOLAURATE ISOMERS AND DISTRIBUTED MULTIPLE 0E CHAINS,N/A,N/A,0,Unknown
444,1448,OXYETHYLENE/2 SORBITAN MONOLAURATE ISOMERS AND DISTRIBUTED MULTIPLE 0E CHAINS,N/A,N/A,0,Unknown
445,292.3,SODIUM PARA-BIS-/N-BUTYL/ BENZENE SULFONATE,sodium;4-octylbenzenesulfonate,CCCCCCCCC1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],292.37,LLM initial name and weight
446,348.5,SODIUM PARA-BIS-/N-HEXYL/ BENZENE SULFONATE,sodium;4-dodecan-2-ylbenzenesulfonate,CCCCCCCCCCC(C)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],348.5,LLM initial name and weight
447,404.6,SODIUM PARA-BIS-/N-OCTYL/ BENZENE SULFONATE,sodium;4-hexadecan-8-ylbenzenesulfonate,CCCCCCCCC(CCCCCCC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],404.6,LLM initial name and weight
448,306.5,SODIUM OCTADECANOATE /STEARATE/,sodium;octadecanoate,CCCCCCCCCCCCCCCCCC(=O)[O-].[Na+],306.5,LLM initial name and weight
449,235.9,DODECYLMETHYL AMMONIUM CHLORIDE,tributyl(methyl)azanium;chloride,CCCC[N+](C)(CCCC)CCCC.[Cl-],235.84,LLM initial name and weight
450,249.9,DODECYLDIMETHYL AMMONIUM CHLORIDE,"N,N-dimethyldodecan-1-amine;hydrochloride",CCCCCCCCCCCCN(C)C.Cl,249.86,LLM initial name and weight
451,448.1,PARA DI-ISOBUTYLPHENOXYETHOXYETHYL DIMETHYLBENZYL AMMONIUM CHLORIDE /HYAMINE 1622/,"benzyl-dimethyl-[2-[2-[4-(2,4,4-trimethylpentan-2-yl)phenoxy]ethoxy]ethyl]azanium;chloride",CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCC[N+](C)(C)CC2=CC=CC=C2.[Cl-],448.1,LLM initial name and weight
452,246.9,DICHLOROPERFLUORO BUTYRIC/KEL-F/ACID,N/A,N/A,0,Unknown
453,363.4,TRICHLOROPERFLUORO HEXANOIC/KEL-F/ACID,N/A,N/A,0,Unknown
454,479.9,TETRACHLOROPERFLUORO OCTANOIC/KEL-F/ACID,N/A,N/A,0,Unknown
455,514.1,PERFLUORO DECANOIC ACID,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-nonadecafluorodecanoic acid",C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,514.08,LLM retried name and weight
456,452.2,POTASSIUM PERFLUORO OCTANOATE,"potassium;2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluorooctanoate",C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-].[K+],452.16,LLM initial name and weight
457,118.2,HEXANEDIOL,"2-methylpentane-2,4-diol",CC(CC(C)(C)O)O,118.17,LLM initial name and weight
458,347.3,DECYL PYRIDINIUM IODIDE,1-decylpyridin-1-ium;iodide,CCCCCCCCCC[N+]1=CC=CC=C1.[I-],347.28,LLM initial name and weight
459,0,ALKYL/15-17/ /OXYETHYLENE/ /19-23/ALCHOL /CETOMACROGOL 1000/,N/A,N/A,0,Unknown
460,356.5,DODECYL TROPYLIUM MONOPHOSPHATE,"2,6-ditert-butyl-4-(diethoxyphosphorylmethyl)phenol",CCOP(=O)(CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C)OCC,356.4,LLM initial name and weight
461,118.2,BUTYL/OXYETHYLENE/1 ALCOHOL--BUTYL GLYCOL ETHER HOMOGENEOUS HEAD GROUP,"2-methylpentane-2,4-diol",CC(CC(C)(C)O)O,118.17,LLM initial name and weight
462,376.4,SODIUM MONOLAURIN SULFATE,"sodium;1-(2,3-dihydroxypropoxy)-1-oxododecane-2-sulfonate",CCCCCCCCCCC(C(=O)OCC(CO)O)S(=O)(=O)[O-].[Na+],376.4,Found by mass lookup
463,705,NONYL BENZENE/OXYETHYLENE/11 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-(4-nonylphenoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol,CCCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,704.9,Found by mass lookup
464,881.3,NONYL BENZENE/OXYETHYLENE/15 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,N/A,N/A,0,Unknown
465,596.9,TRIDECYL/OXYETHYLENE/9 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,2-[2-[2-[2-[2-[2-[2-[2-[2-(11-methyldodecoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol,CC(C)CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,596.8,LLM initial name and weight
466,596.9,TRIDECYL/SECONDARY/ /OXYETHYLENE/9 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,2-[2-[2-[2-[2-[2-[2-[2-[2-(11-methyldodecoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol,CC(C)CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,596.8,LLM initial name and weight
467,729.1,TRIDECYL/SECONDARY//OXYETHYLENE/12 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-(11-methyldodecoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol,CC(C)CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,729,LLM initial name and weight
468,459.6,DODECYL/OXYETHYLENE/6.2 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,N/A,N/A,0,Unknown
469,521.2,DODECYL/OXYETHYLENE/7.6 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,N/A,N/A,0,Unknown
470,653.4,DODECYL/OXYETHYLENE/10.6 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,N/A,N/A,0,Unknown
471,882.5,DODECYL/OXYETHYLENE/15.8 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,N/A,N/A,0,Unknown
472,1085.2,DODECYL/OXYETHYLENE/20.4 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,N/A,N/A,0,Unknown
473,1380.4,DODECYL/OXYETHYLENE/27.1 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,N/A,N/A,0,Unknown
474,1887.1,DODECYL/OXYETHYLENE/38.6 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,N/A,N/A,0,Unknown
475,3151.6,DODECYL/OXYETHYLENE/67.3 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,N/A,N/A,0,Unknown
476,166.2,SODIUM OCTANOATE,sodium;2-propylpentanoate,CCCC(CCC)C(=O)[O-].[Na+],166.19,LLM initial name and weight
477,392.6,OCTADECYL TRIMETHYLAMMONIUM BROMIDE,trimethyl(octadecyl)azanium;bromide,CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],392.5,LLM initial name and weight
478,378.6,HEXADECYL DIMETHYLETHYLAMMONIUM BROMIDE,ethyl-hexadecyl-dimethylazanium;bromide,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],378.5,LLM initial name and weight
479,403.4,TETRADECYL PYRIDINIUM IODIDE,benzyl(tributyl)azanium;iodide,CCCC[N+](CCCC)(CCCC)CC1=CC=CC=C1.[I-],403.4,LLM initial name and weight
480,431.5,HEXADECYL PYRIDINIUM IODIDE,1-hexadecylpyridin-1-ium;iodide,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[I-],431.4,LLM initial name and weight
481,459.6,OCTADECYL PYRIDINIUM IODIDE,benzyl-dimethyl-tetradecylazanium;iodide,CCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[I-],459.5,LLM initial name and weight
482,248.4,DODECYL AMMONIUM NITRATE,2-(2-aminoethylamino)ethanol;octanoic acid,CCCCCCCC(=O)O.C(CNCCO)N,248.36,LLM retried name and weight
483,306,DIOCTYL DIMETHYL AMMONIUM CHLORIDE,dimethyl(dioctyl)azanium;chloride,CCCCCCCC[N+](C)(C)CCCCCCCC.[Cl-],306,LLM initial name and weight
484,124.1,SODIUM PENTANOATE/VALERATE/,sodium;pentanoate,CCCCC(=O)[O-].[Na+],124.11,LLM initial name and weight
485,138.2,SODIUM HEXANOATE/CAPROATE/,"sodium;2,2-dimethylbutanoate",CCC(C)(C)C(=O)[O-].[Na+],138.14,LLM initial name and weight
486,152.2,SODIUM HEPTANOATE,sodium;heptanoate,CCCCCCC(=O)[O-].[Na+],152.17,LLM initial name and weight
487,180.2,SODIUM NONANOATE,sodium;nonanoate,CCCCCCCCC(=O)[O-].[Na+],180.22,LLM initial name and weight
488,494.8,DODECYL/OXYETHYLENE/7 ALCOHOL HOMOGENEOUS HEAD GROUP,2-[2-[2-[2-[2-[2-(2-dodecoxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,494.7,LLM initial name and weight
489,582.9,DODECYL/OXYETHYLENE/9 ALCOHOL HOMOGENEOUS HEAD GROUP,2-[2-[2-[2-[2-[2-[2-[2-(2-dodecoxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,582.8,LLM initial name and weight
490,715.1,DODECYL/OXYETHYLENE/12 ALCOHOL HOMOGENEOUS HEAD GROUP,2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-(2-dodecoxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,715,LLM initial name and weight
491,356.5,DODECYL TROPYLIUM BISULFATE,"3,4-dimethoxy-5-methyl-6-(10-methylsulfanyldecyl)pyran-2-one",CC1=C(OC(=O)C(=C1OC)OC)CCCCCCCCCCSC,356.5,LLM initial name and weight
492,348.5,SODIUM TETRAPROPYLENE/1-3-5-7-TETRAMETHYL-OCTY) BENZENE SULFONATE,sodium;4-dodecan-2-ylbenzenesulfonate,CCCCCCCCCCC(C)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],348.5,Found by mass lookup
493,306.4,SODIUM P-NONYL BENZENE SULFONATE,sodium;2-nonylbenzenesulfonate,CCCCCCCCCC1=CC=CC=C1S(=O)(=O)[O-].[Na+],306.4,LLM initial name and weight
